id,title,description,severity,device
1,Application crash,Application throws a runtime error,4,Unknown
2,Account locked,User requested password reset,4,Unknown
3,Disk failure,Printer driver unavailable,1,Unknown
4,Firewall misconfiguration,Firewall blocked a trusted source,2,Unknown
5,Application crash,Application throws a runtime error,3,Unknown
6,Account locked,User lacks necessary permissions,1,Unknown
7,Server down,Disk space exceeded,2,Unknown
8,Login error,Login credentials rejected,3,Unknown
9,Login error,Application throws a runtime error,4,Unknown
10,Disk failure,Printer driver unavailable,3,Unknown
11,Firewall misconfiguration,DNS server unreachable,2,Unknown
12,Password reset request,User lacks necessary permissions,3,Unknown
13,DNS resolution error,Firewall blocked a trusted source,1,Unknown
14,DNS resolution error,Router not responding,4,Unknown
15,Printer offline,Printer driver unavailable,4,Unknown
16,Firewall misconfiguration,Firewall blocked a trusted source,3,Unknown
17,Connectivity issue,DNS server unreachable,3,Unknown
18,Connectivity issue,DNS server unreachable,4,Unknown
19,Data export failed,Export function times out,4,Unknown
20,Connectivity issue,Router not responding,2,Unknown
21,Permission issue,User lacks necessary permissions,1,Unknown
22,Account locked,User lacks necessary permissions,4,Unknown
23,Unauthorized access,Suspicious login attempt detected,4,Unknown
24,Disk failure,Disk space exceeded,4,Unknown
25,Unauthorized access,Antivirus flagged a process,4,Unknown
26,Unauthorized access,Suspicious login attempt detected,2,Unknown
27,Account locked,User requested password reset,2,Unknown
28,Data export failed,Export function times out,1,Unknown
29,Connectivity issue,Router not responding,3,Unknown
30,Application crash,Login credentials rejected,3,Unknown
31,Firewall misconfiguration,DNS server unreachable,1,Unknown
32,Account locked,User lacks necessary permissions,3,Unknown
33,Data export failed,Login credentials rejected,1,Unknown
34,Disk failure,Server failed to boot,1,Unknown
35,Login error,Export function times out,3,Unknown
36,Connectivity issue,Firewall blocked a trusted source,3,Unknown
37,Connectivity issue,Router not responding,2,Unknown
38,Data export failed,Login credentials rejected,1,Unknown
39,Phishing attempt,Suspicious login attempt detected,4,Unknown
40,Printer offline,Disk space exceeded,3,Unknown
41,Application crash,Application throws a runtime error,2,Unknown
42,DNS resolution error,Router not responding,1,Unknown
43,Server down,Server failed to boot,3,Unknown
44,Unauthorized access,Malicious email reported,1,Unknown
45,Connectivity issue,DNS server unreachable,3,Unknown
46,Application crash,Login credentials rejected,4,Unknown
47,Malware detected,Malicious email reported,3,Unknown
48,DNS resolution error,DNS server unreachable,3,Unknown
49,Malware detected,Suspicious login attempt detected,3,Unknown
50,Connectivity issue,Router not responding,4,Unknown
51,Phishing attempt,Suspicious login attempt detected,1,Unknown
52,Login error,Login credentials rejected,3,Unknown
53,Connectivity issue,DNS server unreachable,1,Unknown
54,DNS resolution error,Firewall blocked a trusted source,2,Unknown
55,Login error,Export function times out,1,Unknown
56,Login error,Application throws a runtime error,2,Unknown
57,Phishing attempt,Malicious email reported,1,Unknown
58,DNS resolution error,DNS server unreachable,2,Unknown
59,Application crash,Application throws a runtime error,1,Unknown
60,Connectivity issue,Firewall blocked a trusted source,1,Unknown
61,Password reset request,User requested password reset,2,Unknown
62,Printer offline,Printer driver unavailable,1,Unknown
63,Account locked,User requested password reset,1,Unknown
64,DNS resolution error,Firewall blocked a trusted source,4,Unknown
65,Phishing attempt,Suspicious login attempt detected,4,Unknown
66,Permission issue,User requested password reset,2,Unknown
67,Permission issue,User lacks necessary permissions,2,Unknown
68,Phishing attempt,Antivirus flagged a process,3,Unknown
69,Login error,Login credentials rejected,3,Unknown
70,Firewall misconfiguration,Firewall blocked a trusted source,1,Unknown
71,Password reset request,Account locked after multiple attempts,4,Unknown
72,Password reset request,Account locked after multiple attempts,3,Unknown
73,Phishing attempt,Antivirus flagged a process,1,Unknown
74,Unauthorized access,Malicious email reported,2,Unknown
75,Connectivity issue,Firewall blocked a trusted source,2,Unknown
76,Firewall misconfiguration,Router not responding,4,Unknown
77,Password reset request,Account locked after multiple attempts,2,Unknown
78,Server down,Disk space exceeded,3,Unknown
79,Firewall misconfiguration,Firewall blocked a trusted source,1,Unknown
80,DNS resolution error,Firewall blocked a trusted source,1,Unknown
81,Printer offline,Server failed to boot,2,Unknown
82,Disk failure,Disk space exceeded,3,Unknown
83,Firewall misconfiguration,Firewall blocked a trusted source,4,Unknown
84,Data export failed,Application throws a runtime error,4,Unknown
85,Account locked,Account locked after multiple attempts,3,Unknown
86,Account locked,User requested password reset,3,Unknown
87,Malware detected,Malicious email reported,1,Unknown
88,Data export failed,Login credentials rejected,1,Unknown
89,Account locked,Account locked after multiple attempts,4,Unknown
90,Malware detected,Antivirus flagged a process,2,Unknown
91,Account locked,User requested password reset,1,Unknown
92,Connectivity issue,Router not responding,4,Unknown
93,Malware detected,Antivirus flagged a process,1,Unknown
94,Phishing attempt,Antivirus flagged a process,4,Unknown
95,Application crash,Export function times out,4,Unknown
96,Account locked,User lacks necessary permissions,4,Unknown
97,Firewall misconfiguration,Router not responding,1,Unknown
98,Server down,Server failed to boot,3,Unknown
99,Permission issue,User requested password reset,4,Unknown
100,Firewall misconfiguration,Router not responding,4,Unknown
101,Connectivity issue,Firewall blocked a trusted source,3,Unknown
102,Data export failed,Login credentials rejected,4,Unknown
103,Malware detected,Suspicious login attempt detected,4,Unknown
104,Phishing attempt,Suspicious login attempt detected,2,Unknown
105,Malware detected,Suspicious login attempt detected,4,Unknown
106,DNS resolution error,Router not responding,3,Unknown
107,DNS resolution error,Firewall blocked a trusted source,3,Unknown
108,Account locked,Account locked after multiple attempts,4,Unknown
109,Disk failure,Printer driver unavailable,4,Unknown
110,Application crash,Application throws a runtime error,2,Unknown
111,Password reset request,User requested password reset,2,Unknown
112,Permission issue,Account locked after multiple attempts,1,Unknown
113,Disk failure,Server failed to boot,1,Unknown
114,Server down,Printer driver unavailable,3,Unknown
115,Firewall misconfiguration,DNS server unreachable,4,Unknown
116,Unauthorized access,Antivirus flagged a process,3,Unknown
117,Password reset request,User lacks necessary permissions,4,Unknown
118,Unauthorized access,Antivirus flagged a process,4,Unknown
119,Malware detected,Suspicious login attempt detected,2,Unknown
120,Application crash,Export function times out,4,Unknown
121,Printer offline,Printer driver unavailable,2,Unknown
122,DNS resolution error,Firewall blocked a trusted source,2,Unknown
123,Application crash,Application throws a runtime error,3,Unknown
124,Printer offline,Printer driver unavailable,2,Unknown
125,Account locked,Account locked after multiple attempts,4,Unknown
126,Disk failure,Printer driver unavailable,1,Unknown
127,Application crash,Export function times out,3,Unknown
128,Malware detected,Malicious email reported,1,Unknown
129,Connectivity issue,Firewall blocked a trusted source,4,Unknown
130,Disk failure,Printer driver unavailable,3,Unknown
131,DNS resolution error,DNS server unreachable,4,Unknown
132,Malware detected,Malicious email reported,3,Unknown
133,Login error,Login credentials rejected,1,Unknown
134,Login error,Login credentials rejected,3,Unknown
135,Password reset request,User lacks necessary permissions,4,Unknown
136,Application crash,Application throws a runtime error,3,Unknown
137,Printer offline,Server failed to boot,3,Unknown
138,Password reset request,User requested password reset,2,Unknown
139,Printer offline,Server failed to boot,1,Unknown
140,Login error,Login credentials rejected,4,Unknown
141,Malware detected,Antivirus flagged a process,4,Unknown
142,DNS resolution error,Firewall blocked a trusted source,3,Unknown
143,Login error,Export function times out,1,Unknown
144,Unauthorized access,Suspicious login attempt detected,1,Unknown
145,Malware detected,Antivirus flagged a process,4,Unknown
146,Permission issue,User requested password reset,2,Unknown
147,Phishing attempt,Antivirus flagged a process,3,Unknown
148,Phishing attempt,Malicious email reported,2,Unknown
149,Malware detected,Malicious email reported,4,Unknown
150,Server down,Server failed to boot,3,Unknown
151,Server down,Printer driver unavailable,1,Unknown
152,Disk failure,Printer driver unavailable,1,Unknown
153,DNS resolution error,Firewall blocked a trusted source,4,Unknown
154,Disk failure,Server failed to boot,2,Unknown
155,Disk failure,Printer driver unavailable,3,Unknown
156,Login error,Export function times out,1,Unknown
157,Server down,Printer driver unavailable,1,Unknown
158,Firewall misconfiguration,Router not responding,1,Unknown
159,Application crash,Login credentials rejected,1,Unknown
160,Account locked,User lacks necessary permissions,2,Unknown
161,Application crash,Application throws a runtime error,4,Unknown
162,Firewall misconfiguration,DNS server unreachable,1,Unknown
163,Account locked,User requested password reset,1,Unknown
164,DNS resolution error,Router not responding,2,Unknown
165,Login error,Login credentials rejected,3,Unknown
166,Unauthorized access,Antivirus flagged a process,1,Unknown
167,Phishing attempt,Malicious email reported,1,Unknown
168,Password reset request,User lacks necessary permissions,1,Unknown
169,Unauthorized access,Antivirus flagged a process,1,Unknown
170,Connectivity issue,Router not responding,3,Unknown
171,Login error,Login credentials rejected,3,Unknown
172,Malware detected,Suspicious login attempt detected,1,Unknown
173,Printer offline,Printer driver unavailable,1,Unknown
174,Phishing attempt,Antivirus flagged a process,4,Unknown
175,Permission issue,User lacks necessary permissions,2,Unknown
176,Application crash,Application throws a runtime error,2,Unknown
177,Printer offline,Disk space exceeded,4,Unknown
178,Firewall misconfiguration,Router not responding,2,Unknown
179,Malware detected,Antivirus flagged a process,1,Unknown
180,Malware detected,Antivirus flagged a process,1,Unknown
181,Disk failure,Disk space exceeded,4,Unknown
182,Permission issue,Account locked after multiple attempts,1,Unknown
183,Login error,Login credentials rejected,2,Unknown
184,DNS resolution error,Router not responding,4,Unknown
185,Connectivity issue,DNS server unreachable,2,Unknown
186,Server down,Server failed to boot,1,Unknown
187,Firewall misconfiguration,Router not responding,3,Unknown
188,Application crash,Application throws a runtime error,2,Unknown
189,Disk failure,Server failed to boot,4,Unknown
190,Login error,Login credentials rejected,2,Unknown
191,Account locked,Account locked after multiple attempts,3,Unknown
192,Unauthorized access,Malicious email reported,1,Unknown
193,Application crash,Login credentials rejected,4,Unknown
194,Printer offline,Printer driver unavailable,4,Unknown
195,Data export failed,Application throws a runtime error,1,Unknown
196,Connectivity issue,DNS server unreachable,3,Unknown
197,Login error,Login credentials rejected,2,Unknown
198,Account locked,Account locked after multiple attempts,1,Unknown
199,Account locked,User requested password reset,4,Unknown
200,Account locked,User requested password reset,4,Unknown
201,Permission issue,User requested password reset,1,Unknown
202,Unauthorized access,Suspicious login attempt detected,4,Unknown
203,DNS resolution error,Firewall blocked a trusted source,3,Unknown
204,Disk failure,Disk space exceeded,1,Unknown
205,Login error,Application throws a runtime error,2,Unknown
206,Unauthorized access,Malicious email reported,4,Unknown
207,Data export failed,Application throws a runtime error,4,Unknown
208,Printer offline,Server failed to boot,4,Unknown
209,Login error,Login credentials rejected,4,Unknown
210,Unauthorized access,Malicious email reported,1,Unknown
211,Disk failure,Disk space exceeded,4,Unknown
212,Unauthorized access,Suspicious login attempt detected,4,Unknown
213,Connectivity issue,DNS server unreachable,4,Unknown
214,Phishing attempt,Antivirus flagged a process,1,Unknown
215,Permission issue,User lacks necessary permissions,1,Unknown
216,Data export failed,Login credentials rejected,3,Unknown
217,Account locked,Account locked after multiple attempts,3,Unknown
218,Phishing attempt,Suspicious login attempt detected,4,Unknown
219,Password reset request,User requested password reset,4,Unknown
220,Phishing attempt,Suspicious login attempt detected,3,Unknown
221,Printer offline,Printer driver unavailable,2,Unknown
222,Malware detected,Malicious email reported,4,Unknown
223,Login error,Application throws a runtime error,2,Unknown
224,Phishing attempt,Suspicious login attempt detected,4,Unknown
225,Password reset request,User requested password reset,4,Unknown
226,Permission issue,User lacks necessary permissions,3,Unknown
227,Phishing attempt,Suspicious login attempt detected,4,Unknown
228,Printer offline,Printer driver unavailable,4,Unknown
229,Application crash,Application throws a runtime error,4,Unknown
230,Server down,Printer driver unavailable,2,Unknown
231,Phishing attempt,Malicious email reported,3,Unknown
232,Printer offline,Server failed to boot,4,Unknown
233,Application crash,Application throws a runtime error,4,Unknown
234,Login error,Login credentials rejected,2,Unknown
235,Malware detected,Malicious email reported,4,Unknown
236,Data export failed,Application throws a runtime error,1,Unknown
237,Unauthorized access,Malicious email reported,3,Unknown
238,Application crash,Export function times out,3,Unknown
239,Printer offline,Printer driver unavailable,3,Unknown
240,Data export failed,Application throws a runtime error,2,Unknown
241,Application crash,Export function times out,1,Unknown
242,Password reset request,User lacks necessary permissions,1,Unknown
243,Printer offline,Disk space exceeded,2,Unknown
244,Firewall misconfiguration,DNS server unreachable,1,Unknown
245,Permission issue,Account locked after multiple attempts,4,Unknown
246,Login error,Application throws a runtime error,1,Unknown
247,Firewall misconfiguration,Firewall blocked a trusted source,1,Unknown
248,DNS resolution error,DNS server unreachable,4,Unknown
249,Password reset request,User requested password reset,3,Unknown
250,Connectivity issue,DNS server unreachable,4,Unknown
251,Phishing attempt,Malicious email reported,4,Unknown
252,Data export failed,Login credentials rejected,3,Unknown
253,DNS resolution error,Router not responding,3,Unknown
254,Phishing attempt,Suspicious login attempt detected,2,Unknown
255,Account locked,User lacks necessary permissions,4,Unknown
256,Server down,Server failed to boot,3,Unknown
257,DNS resolution error,Router not responding,3,Unknown
258,Account locked,User lacks necessary permissions,1,Unknown
259,Connectivity issue,Firewall blocked a trusted source,1,Unknown
260,Password reset request,User requested password reset,1,Unknown
261,Permission issue,User lacks necessary permissions,3,Unknown
262,Data export failed,Application throws a runtime error,4,Unknown
263,Firewall misconfiguration,Router not responding,3,Unknown
264,Printer offline,Server failed to boot,1,Unknown
265,Disk failure,Printer driver unavailable,1,Unknown
266,Account locked,User lacks necessary permissions,1,Unknown
267,Unauthorized access,Antivirus flagged a process,2,Unknown
268,Server down,Printer driver unavailable,3,Unknown
269,Printer offline,Server failed to boot,4,Unknown
270,Disk failure,Disk space exceeded,1,Unknown
271,Phishing attempt,Suspicious login attempt detected,2,Unknown
272,Server down,Printer driver unavailable,2,Unknown
273,Account locked,Account locked after multiple attempts,2,Unknown
274,Phishing attempt,Antivirus flagged a process,2,Unknown
275,Server down,Server failed to boot,1,Unknown
276,Phishing attempt,Malicious email reported,4,Unknown
277,Connectivity issue,Router not responding,4,Unknown
278,Phishing attempt,Antivirus flagged a process,4,Unknown
279,Data export failed,Application throws a runtime error,4,Unknown
280,DNS resolution error,Firewall blocked a trusted source,2,Unknown
281,Firewall misconfiguration,Router not responding,4,Unknown
282,Malware detected,Malicious email reported,2,Unknown
283,Login error,Export function times out,4,Unknown
284,Disk failure,Server failed to boot,3,Unknown
285,Unauthorized access,Malicious email reported,4,Unknown
286,Application crash,Application throws a runtime error,4,Unknown
287,Permission issue,User lacks necessary permissions,4,Unknown
288,Password reset request,Account locked after multiple attempts,3,Unknown
289,Malware detected,Suspicious login attempt detected,3,Unknown
290,Data export failed,Application throws a runtime error,4,Unknown
291,Password reset request,User requested password reset,1,Unknown
292,Disk failure,Disk space exceeded,1,Unknown
293,Account locked,User requested password reset,3,Unknown
294,Printer offline,Printer driver unavailable,2,Unknown
295,Application crash,Export function times out,2,Unknown
296,Connectivity issue,Router not responding,3,Unknown
297,Data export failed,Export function times out,3,Unknown
298,Data export failed,Application throws a runtime error,4,Unknown
299,Printer offline,Server failed to boot,4,Unknown
300,Data export failed,Login credentials rejected,1,Unknown
301,Data export failed,Login credentials rejected,4,Unknown
302,Application crash,Application throws a runtime error,4,Unknown
303,Disk failure,Disk space exceeded,2,Unknown
304,Account locked,Account locked after multiple attempts,1,Unknown
305,Disk failure,Disk space exceeded,4,Unknown
306,Phishing attempt,Antivirus flagged a process,2,Unknown
307,Application crash,Export function times out,4,Unknown
308,Application crash,Export function times out,3,Unknown
309,DNS resolution error,Router not responding,2,Unknown
310,Malware detected,Antivirus flagged a process,1,Unknown
311,Permission issue,Account locked after multiple attempts,4,Unknown
312,Printer offline,Disk space exceeded,2,Unknown
313,Login error,Login credentials rejected,4,Unknown
314,Account locked,Account locked after multiple attempts,1,Unknown
315,Data export failed,Application throws a runtime error,1,Unknown
316,Connectivity issue,Router not responding,1,Unknown
317,Application crash,Login credentials rejected,1,Unknown
318,Phishing attempt,Antivirus flagged a process,3,Unknown
319,Application crash,Login credentials rejected,2,Unknown
320,Login error,Export function times out,3,Unknown
321,Unauthorized access,Suspicious login attempt detected,2,Unknown
322,Server down,Server failed to boot,4,Unknown
323,Application crash,Login credentials rejected,2,Unknown
324,Firewall misconfiguration,Router not responding,3,Unknown
325,Disk failure,Printer driver unavailable,3,Unknown
326,Malware detected,Suspicious login attempt detected,3,Unknown
327,Server down,Printer driver unavailable,4,Unknown
328,Account locked,User lacks necessary permissions,4,Unknown
329,Unauthorized access,Antivirus flagged a process,2,Unknown
330,Account locked,User requested password reset,4,Unknown
331,Server down,Disk space exceeded,2,Unknown
332,Unauthorized access,Antivirus flagged a process,4,Unknown
333,Unauthorized access,Suspicious login attempt detected,2,Unknown
334,Application crash,Application throws a runtime error,4,Unknown
335,Login error,Application throws a runtime error,1,Unknown
336,Account locked,User requested password reset,4,Unknown
337,Malware detected,Malicious email reported,4,Unknown
338,Unauthorized access,Malicious email reported,4,Unknown
339,Printer offline,Server failed to boot,3,Unknown
340,Malware detected,Antivirus flagged a process,2,Unknown
341,Password reset request,Account locked after multiple attempts,1,Unknown
342,Printer offline,Printer driver unavailable,4,Unknown
343,Account locked,Account locked after multiple attempts,3,Unknown
344,Phishing attempt,Antivirus flagged a process,2,Unknown
345,Unauthorized access,Malicious email reported,2,Unknown
346,Server down,Printer driver unavailable,2,Unknown
347,Account locked,User requested password reset,3,Unknown
348,Password reset request,User lacks necessary permissions,1,Unknown
349,Account locked,User requested password reset,3,Unknown
350,Disk failure,Printer driver unavailable,4,Unknown
351,Data export failed,Export function times out,4,Unknown
352,Data export failed,Export function times out,1,Unknown
353,Connectivity issue,Firewall blocked a trusted source,4,Unknown
354,DNS resolution error,DNS server unreachable,4,Unknown
355,Connectivity issue,Router not responding,3,Unknown
356,Firewall misconfiguration,Router not responding,2,Unknown
357,DNS resolution error,Firewall blocked a trusted source,4,Unknown
358,Connectivity issue,Router not responding,4,Unknown
359,Data export failed,Login credentials rejected,1,Unknown
360,Login error,Export function times out,3,Unknown
361,Login error,Login credentials rejected,2,Unknown
362,Phishing attempt,Suspicious login attempt detected,4,Unknown
363,Printer offline,Server failed to boot,4,Unknown
364,Account locked,Account locked after multiple attempts,3,Unknown
365,Server down,Printer driver unavailable,2,Unknown
366,Data export failed,Login credentials rejected,2,Unknown
367,Login error,Export function times out,4,Unknown
368,Unauthorized access,Antivirus flagged a process,1,Unknown
369,Account locked,Account locked after multiple attempts,4,Unknown
370,DNS resolution error,Router not responding,3,Unknown
371,Account locked,User lacks necessary permissions,1,Unknown
372,Server down,Printer driver unavailable,2,Unknown
373,Login error,Export function times out,4,Unknown
374,Application crash,Export function times out,4,Unknown
375,Application crash,Login credentials rejected,4,Unknown
376,Printer offline,Server failed to boot,3,Unknown
377,Permission issue,Account locked after multiple attempts,4,Unknown
378,Permission issue,Account locked after multiple attempts,2,Unknown
379,Password reset request,User lacks necessary permissions,4,Unknown
380,Permission issue,User requested password reset,3,Unknown
381,Phishing attempt,Malicious email reported,4,Unknown
382,Permission issue,Account locked after multiple attempts,4,Unknown
383,Firewall misconfiguration,Router not responding,3,Unknown
384,Firewall misconfiguration,Firewall blocked a trusted source,1,Unknown
385,Login error,Application throws a runtime error,4,Unknown
386,Connectivity issue,Firewall blocked a trusted source,4,Unknown
387,Connectivity issue,Router not responding,3,Unknown
388,Account locked,Account locked after multiple attempts,3,Unknown
389,Account locked,Account locked after multiple attempts,2,Unknown
390,Data export failed,Export function times out,2,Unknown
391,Printer offline,Disk space exceeded,1,Unknown
392,Malware detected,Suspicious login attempt detected,3,Unknown
393,Printer offline,Server failed to boot,3,Unknown
394,Connectivity issue,Router not responding,4,Unknown
395,Account locked,User requested password reset,3,Unknown
396,Application crash,Application throws a runtime error,2,Unknown
397,Phishing attempt,Suspicious login attempt detected,1,Unknown
398,Account locked,Account locked after multiple attempts,1,Unknown
399,DNS resolution error,Router not responding,3,Unknown
400,Application crash,Application throws a runtime error,4,Unknown
401,Connectivity issue,Firewall blocked a trusted source,1,Unknown
402,Firewall misconfiguration,Firewall blocked a trusted source,2,Unknown
403,DNS resolution error,Firewall blocked a trusted source,2,Unknown
404,Account locked,Account locked after multiple attempts,3,Unknown
405,Printer offline,Disk space exceeded,2,Unknown
406,Login error,Login credentials rejected,2,Unknown
407,Phishing attempt,Antivirus flagged a process,3,Unknown
408,Disk failure,Disk space exceeded,2,Unknown
409,Phishing attempt,Antivirus flagged a process,3,Unknown
410,Account locked,User requested password reset,1,Unknown
411,Phishing attempt,Antivirus flagged a process,4,Unknown
412,Server down,Disk space exceeded,2,Unknown
413,Account locked,Account locked after multiple attempts,3,Unknown
414,Password reset request,User requested password reset,3,Unknown
415,Login error,Application throws a runtime error,3,Unknown
416,Account locked,User lacks necessary permissions,2,Unknown
417,Account locked,Account locked after multiple attempts,3,Unknown
418,Password reset request,User requested password reset,1,Unknown
419,Firewall misconfiguration,DNS server unreachable,1,Unknown
420,Application crash,Application throws a runtime error,4,Unknown
421,Phishing attempt,Malicious email reported,4,Unknown
422,DNS resolution error,DNS server unreachable,3,Unknown
423,Firewall misconfiguration,Router not responding,3,Unknown
424,Data export failed,Export function times out,3,Unknown
425,Disk failure,Disk space exceeded,3,Unknown
426,Data export failed,Application throws a runtime error,3,Unknown
427,Login error,Application throws a runtime error,3,Unknown
428,Firewall misconfiguration,Firewall blocked a trusted source,3,Unknown
429,Permission issue,User lacks necessary permissions,1,Unknown
430,Permission issue,User requested password reset,1,Unknown
431,Login error,Login credentials rejected,3,Unknown
432,Disk failure,Printer driver unavailable,2,Unknown
433,Firewall misconfiguration,Router not responding,4,Unknown
434,Malware detected,Suspicious login attempt detected,2,Unknown
435,Server down,Printer driver unavailable,1,Unknown
436,Connectivity issue,Router not responding,3,Unknown
437,Account locked,User lacks necessary permissions,1,Unknown
438,Printer offline,Printer driver unavailable,3,Unknown
439,Firewall misconfiguration,Router not responding,2,Unknown
440,Connectivity issue,Router not responding,3,Unknown
441,Unauthorized access,Suspicious login attempt detected,4,Unknown
442,Printer offline,Printer driver unavailable,2,Unknown
443,Login error,Application throws a runtime error,1,Unknown
444,Permission issue,User requested password reset,3,Unknown
445,Permission issue,User requested password reset,4,Unknown
446,Permission issue,User lacks necessary permissions,3,Unknown
447,Permission issue,User requested password reset,1,Unknown
448,Unauthorized access,Malicious email reported,1,Unknown
449,Phishing attempt,Malicious email reported,1,Unknown
450,Server down,Server failed to boot,1,Unknown
451,Disk failure,Disk space exceeded,2,Unknown
452,Login error,Export function times out,4,Unknown
453,Connectivity issue,Router not responding,4,Unknown
454,Permission issue,Account locked after multiple attempts,2,Unknown
455,Malware detected,Suspicious login attempt detected,2,Unknown
456,Phishing attempt,Malicious email reported,1,Unknown
457,Application crash,Login credentials rejected,1,Unknown
458,Server down,Printer driver unavailable,1,Unknown
459,Unauthorized access,Malicious email reported,4,Unknown
460,Phishing attempt,Malicious email reported,1,Unknown
461,Account locked,Account locked after multiple attempts,1,Unknown
462,Printer offline,Disk space exceeded,4,Unknown
463,Password reset request,Account locked after multiple attempts,3,Unknown
464,Printer offline,Printer driver unavailable,1,Unknown
465,DNS resolution error,DNS server unreachable,3,Unknown
466,Disk failure,Printer driver unavailable,3,Unknown
467,Data export failed,Login credentials rejected,1,Unknown
468,Disk failure,Disk space exceeded,3,Unknown
469,Unauthorized access,Malicious email reported,3,Unknown
470,Application crash,Export function times out,1,Unknown
471,Server down,Server failed to boot,3,Unknown
472,Data export failed,Login credentials rejected,2,Unknown
473,Phishing attempt,Malicious email reported,3,Unknown
474,Phishing attempt,Antivirus flagged a process,4,Unknown
475,Firewall misconfiguration,Router not responding,1,Unknown
476,Data export failed,Export function times out,3,Unknown
477,Disk failure,Disk space exceeded,1,Unknown
478,Printer offline,Server failed to boot,2,Unknown
479,Disk failure,Disk space exceeded,2,Unknown
480,Phishing attempt,Antivirus flagged a process,1,Unknown
481,Firewall misconfiguration,Firewall blocked a trusted source,1,Unknown
482,DNS resolution error,Firewall blocked a trusted source,2,Unknown
483,Firewall misconfiguration,Router not responding,2,Unknown
484,Printer offline,Printer driver unavailable,1,Unknown
485,Server down,Printer driver unavailable,4,Unknown
486,Firewall misconfiguration,Firewall blocked a trusted source,4,Unknown
487,Malware detected,Antivirus flagged a process,3,Unknown
488,Login error,Login credentials rejected,2,Unknown
489,Login error,Application throws a runtime error,1,Unknown
490,Permission issue,Account locked after multiple attempts,2,Unknown
491,Password reset request,User lacks necessary permissions,1,Unknown
492,Firewall misconfiguration,Router not responding,3,Unknown
493,Login error,Application throws a runtime error,4,Unknown
494,DNS resolution error,Router not responding,2,Unknown
495,Malware detected,Malicious email reported,4,Unknown
496,DNS resolution error,DNS server unreachable,4,Unknown
497,Application crash,Export function times out,2,Unknown
498,DNS resolution error,DNS server unreachable,3,Unknown
499,Connectivity issue,Router not responding,1,Unknown
500,Login error,Application throws a runtime error,3,Unknown
